review_id,review,Food,Service,Ambience,deal
1,Yummy Food!,1,0,0,0
2,Loved the food..,1,0,0,0
3,Tasty food,1,0,0,0
4,The food is brilliant here.,1,0,0,0
5,Mouth Watering food,1,0,0,0
6,crave satisfied,1,0,0,0
7,The best part about this palce is the food,1,0,0,0
8,Gonna come back for the food ,1,0,0,0
9,delicious food,1,0,0,0
10,The food was not good at all,0,0,0,0
11,The food was all overcooked,0,0,0,0
12,The food was raw,0,0,0,0
13,Yak food,0,0,0,0
14,Disgusting food,0,0,0,0
15,My mind is still roaming around the food ! Loved it ,1,0,0,0
16,Food was an average but service was awesome,0,1,0,0
17,Great Food and service.,1,1,0,0
18,Great food and ambience,1,0,1,0
19,Great service and ambience,0,1,1,0
20,Enjoyed happy hours,0,0,0,1
21,This place provides a wide range of deals and discount,0,0,0,1
22,Great deals and discount,0,0,0,1
23,They have happy hours,0,0,0,1
24,Great food in happy hours as well,1,0,0,1
25,Happy hour starts at 3 pm,0,0,0,1
26,Great ambience.,0,0,1,0
27,good environment.,0,0,1,0
28,Peaceful place,0,0,1,0
29,Sound environment.,0,0,1,0
30,I liked the ambience very much.,0,0,1,0
31,I didn’t like the place much.,0,0,0,0
32,Christmas offers and discounts,0,0,0,1
33,"They have not the best happy hours, but the food is good,and service is even better. When it is winter we become regulars.",1,1,0,0
34,"My wife took me here on my birthday for breakfast and it was excellent.  The weather was perfect which made sitting outside overlooking their grounds an absolute pleasure.  Our waitress was excellent and our food arrived quickly on the semi-busy Saturday morning.  It looked like the place fills up pretty quickly so the earlier you get here the better.  Do yourself a favor and get their Bloody Mary.  It was phenomenal and simply the best I've ever had.  I'm pretty sure they only use ingredients from their garden and blend them fresh when you order it.  It was amazing.  While EVERYTHING on the menu looks excellent, I had the white truffle scrambled eggs vegetable skillet and it was tasty and delicious.  It came with 2 pieces of their griddled bread with was amazing and it absolutely made the meal complete.  It was the best ""toast"" I've ever had.  Anyway, I can't wait to go back!",1,1,1,0
35,"Quiessence is, simply put, beautiful.  Full windows and earthy wooden walls give a feeling of warmth inside this restaurant perched in the middle of a farm.  The restaurant seemed fairly full even on a Tuesday evening; we had secured reservations just a couple days before.  My friend and I had sampled sandwiches at the Farm Kitchen earlier that week, and were impressed enough to want to eat at the restaurant.  The crisp, fresh veggies didn't disappoint: we ordered the salad with orange and grapefruit slices and the crudites to start.  Both were very good; I didn't even know how much I liked raw radishes and turnips until I tried them with their pesto and aioli sauces.  For entrees, I ordered the lamb and my friend ordered the pork shoulder.  Service started out very good, but trailed off quickly.  Waiting for our food took a very long time (a couple seated after us received and finished their entrees before we received our's), and no one bothered to explain the situation until the maitre'd apologized almost 45 minutes later.  Apparently the chef was unhappy with the sauce on my entree, so he started anew.  This isn't really a problem, but they should have communicated this to us earlier.  For our troubles, they comped me the glass of wine I ordered, but they forgot to bring out with my entree  as I had requested.  Also, they didn't offer us bread, but I will echo the lady who whispered this to us on her way out: ask for the bread.  We received warm foccacia, apple walnut, and pomegranate slices of wonder with honey and butter.  YUM.  The entrees were both solid, but didn't quite live up to the innovation and freshness of the vegetables.  My lamb's sauce was delicious, but the meat was tough.  Maybe the vegetarian entrees are the way to go?  But our dessert, the gingerbread pear cake, was yet another winner.  If the entrees were tad more inspired, or the service weren't so spotty, this place definitely would have warranted five stars.  If I return, I'd like to try the 75$ tasting menu.  Our bill came out to about 100$ for two people, including tip, no drinks.",1,0,1,0
36,"Sacks is a different kind of sandwich shop. They have some crazy ingredients like varied sauces and mayos, fresh spinach, grilled peppers, and all sorts of other things you don't see at a typical deli. Then they serve it up on a baguette, wrap, or wheat bread for about $6. The specials are particularly diverse and change daily. On the other side of the coin, their website is horrible and occasionally we find some things missing or not quite right, but we chalk that up to charm and whimsy. (We get a weekly Sacks delivery.)  If you want a basic ham and cheese sandwich, you can get that here. If you want a sandwich like their Blue Bayou, which is spicy marinated chicken served with bacon, bleu cheese crumbles, cheddar jack, mushrooms, spinach, and chipotle mayo, all melted down, well, you can get that here too, but only on the days when it's a special.   From their regular, artist-inspired menu, their Dali is an instant classic take on the egg salad: This one comes with lettuce, bacon, cream cheese, mayo, and tomato, on 12-grain bread. The Encore has prime steak, melted provolone, hot/mild/or mixed peppers, feta yogurt or marinara sauce, lettuce, tomato, and parmesan for $6.30. Seriously, give this place a shot and you won't be disappointed.   Oh, and every sandwich comes with a lovely cookie. Brilliant.",1,1,0,0
37,"Drop what you're doing and drive here. After I ate here I had to go back the next day for more.  The food is that good.  This cute little green building may have gone competely unoticed if I hadn't been driving down Palm Rd to avoid construction.  While waiting to turn onto 16th Street the ""Grand Opening"" sign caught my eye and my little yelping soul leaped for joy!  A new place to try!  It looked desolate from the outside but when I opened the door I was put at easy by the decor, smell and cleanliness inside.  I ordered dinner for two, to go.  The menu was awesome.  I loved seeing all the variety: poblano peppers, mole, mahi mahi, mushrooms...something wrapped in banana leaves.  It made it difficult to choose something.  Here's what I've had so far: La Condesa Shrimp Burro and Baja Sur Dogfish Shark Taco.  They are both were very delicious meals but the shrimp burro stole the show.  So much flavor.  I snagged some bites from my hubbys mole and mahi mahi burros- mmmm such a delight.  The salsa bar is endless.  I really stocked up.  I was excited to try the strawberry salsa but it was too hot, in fact it all was, but I'm a big wimp when it comes to hot peppers. The horchata is handmade and delicious.  They throw pecans and some fruit in there too which is a yummy bonus!  As if the good food wasn't enough to win me over the art in this restaurant sho did!  I'm a sucker for Mexican folk art and Frida Kahlo is my Oprah.  There's a painting of her and Diego hanging over the salsa bar, it's amazing.  All the paintings are great, love the artist.",1,0,1,0
38,"They have a limited time thing going on right now with BBQ chicken pizza (not sure how long it's going to last) but let me just say it was amazing.  Probably THE best BBQ Chicken pizza I have ever had.  I have tried other things too, like the tomato basil soup, and many of their sandwiches ... very good, very fresh - every time.    The 5 stars is for the pizza, but if I were to rate Jason's Deli over all they would get about a 4.",1,0,0,0
39,"Was it worth the 21$ for a salad and small pizza? Absolutely not! Bad service. Maybe the guys grandma died I don't know. I want to tell you what really made me mad about the experience. We order the small pizza and salad and the guys could have cared less and took our $ and we sat down. We were looking around and hmm, there's a sign saying ""x large pizza and large salad only 23$"". Wow that would have been nice if the guy told us that. I left hungry, mad and unsatisfied.   To the owner: teach your employees the value of upselling and telling the specials. Something so small can affect a customers experience negatively.   And your salads are severely overpriced   Won't go back unless I'm desperate.",0,0,0,0
40,"I met a friend for lunch yesterday.   Loved the water feature and patio walking in, if it had been warmer I would have definitely sat outside.   Inside was a little dark and I guess it was all the bats around but it reminded me of ""Dusk Till Dawn"".   We were seated, I hope was hoping for chips and salsa, I guess they don't serve them here?  We weren't even offered the ones on the menu, which I probably would have declined anyway because chips and salsa should be complimentary.   Anyhow I ordered the Fresh Snapper Tacos (see pics)  There is a lot of fish there being smothered by all those peppers, but as for everything else what you see is what you get.  For $15 I would have liked more than a TBSP of each, rice and beans, and a DEFINITELY more than a teaspoon of cheese and sour cream and maybe a lime or lemon.  There was more garnish on the plate than anything. Other than that it was good.   My Friend ordered the Green Chile Stew and The Green Chile Mac and Cheese (see pics) She has been here before so knew what she liked. I tasted the macaroni and thought it was pretty good too.  I'll give 3 stars until I go back and try out some other things.",1,0,0,0
41,"DVAP....  You have to go at least once in your life. It really is a neat place with alot of history.   The service is great, it appears to be family run.   The food is good. Better then Dennys but not as good as Mimi's.   I had the all u can eat of beef ribs, lasagna, meat loaf, cat fish, chicken, mashed and diced potatoes, stuffing, rice, homemade apple pie, etc and salad bar. I know I am missing a bunch of stuff they had but you get the drift.   They run specials on Prime rib and stuff so you might want to call to see what they are serving the night you go.",1,1,1,0
42,"Not that my review will mean much given the more in-depth reviewers but I will chime in nonetheless...  I can really only review one dish, the #3 lunch special, Yellow Curry Chicken. I don't know what the authentic name for it is, Kang Karee something or other. It's so tasty that the first time I had it I knew I'd never branch out. Good lunch spot if you work around downtown. Not the quickest service all the time and can get busy during lunch, but always consistently good. Fairly dim inside, a good place to forget about the sun on a summer day.",1,0,0,0
43,"Disclaimer: Like many of you, I am a sucker for charming little homes that have been re-purposed into restaurants. I am certain that this colored my opinion of Cibo.  That being said, I absolutely love having lunch here the other day. I unknowingly arrived at 2:05 (5 minutes after they close between lunch and dinner) but was served anyway. I had the salscicia sandwich and a side of fruit. The sandwich was excellent, served on perfectly crisp, chewy saltimbocca bread. The sausage was flavorful and was complimented by roasted red peppers and onions. All this was finished off with a great quality mozzarella cheese. Really, really delicious.  I should also say that the atmosphere here was friendly and  comfortable, though a bit small. This would be a great place to hang out if you lived nearby.",1,0,1,0
44,"I've eaten here many times, but none as bad as last night. Service was excellent, and highly attentive. Food, absolutely horrible.  My expectation was they would serve a steak on par with their seafood. After all, they were charging 39 bucks for a ribeye.  What I was hoping for was a 1- 1-1/2' thick steak, cooked Pittsburgh style as I had ordered.  What I got a a 3/4 in thick piece of meat that was mostly fat, gristle, and in no way resembled Pittsburgh Style.  Salad, similar to something you could get at Chick Filet Veggies, blah. Bread basket, ample, but day old, and if not, it certainly wasn't fresh.   In addition to bad food, we were crammed into a small room where we were nuts to butts with 6 other tables, listening to conversations ranging from someone's recent bout with pinkeye, and another couple who elected to speak entirely in French, until the waiter showed up, then it was like they turned off the French switch and suddenly began speaking English.   I've had it with this place. If I'm going to pay 150 bucks for dinner, it'll be at Mortons, or Maestro where the steaks are 1-1/2 in thick, cooked to perfection, and half of it doesnt wind up on the plate as fat and gristle",0,1,0,0
