review_count,new_id,city,rating,restaurant_name,longitude,restaurant_id,full_address,state,latitude
14,1,Glendale Az,3.5,Hot Bagels & Deli,-112.200264,PzOqRohWw7F7YEPBz6AubA,"6520 W Happy Valley Rd
Ste 101
Glendale Az, AZ 85310",AZ,33.712797
10,2,Gilbert,3.5,Jersey Mike's Subs,-111.8120071,qarobAbxGSHI7ygf1f7a_Q,"891 E Baseline Rd
Suite 102
Gilbert, AZ 85233",AZ,33.3788385
5,3,Phoenix,4.0,La Paloma Mexican Food,-112.0813612,gA5CuBxF-0CnOpGnryWJdQ,"519 W Thomas Rd
Phoenix, AZ 85013",AZ,33.480105
55,4,Scottsdale,4.0,Sauce,-111.926272,JxVGJ9Nly2FFIs_WpJvkug,"14418 N Scottsdale Rd
Suite 181
Scottsdale, AZ 85254",AZ,33.6174589
23,5,Phoenix,4.0,Fuddruckers,-112.116243,Jj7bcQ6NDfKoz4TXwvYfMg,"8941 N Black Canyon Hwy
Phoenix, AZ 85021",AZ,33.566989
42,6,Phoenix,3.5,China Chan Restaurant,-112.120516,yOYFhiTjT-SM4spKtDk92w,"10227 N Metro Pkwy E
Phoenix, AZ 85051",AZ,33.5803589
3,7,Scottsdale,2.5,McDonald's,-111.881625,4IAzFJ159GEaIGX1-y6Bmw,"9251 E Shea Blvd
Scottsdale, AZ 85258",AZ,33.581867
85,8,Scottsdale,3.0,Nimbus American Bistro N' Brewery,-111.9641728,MLAnvEcvDfOWELHUN_0xEw,"7001 N Scottsdale Rd
Ste 147
Scottsdale, AZ 85253",AZ,33.5388471
9,9,Scottsdale,3.0,Peter Piper Pizza,-111.9175425,JHp5mJvYe6UtM_QsklR-iw,"7607 E McDowell Road
Suite 101
Scottsdale, AZ 85257",AZ,33.4661264
10,10,Gila Bend,3.5,Sofia's Mexican Food,-112.7113217,sygb2W4NRadVXiWhW8bnFQ,"616 E Pima Street
Gila Bend, AZ 85337",AZ,32.9482948
9,11,Phoenix,3.0,Meatballz,-112.101312,JvJjaTJCyUGu5SDpoJWvZg,"1930 W Pinnacle Peak Rd
Ste 119
Phoenix, AZ 85027",AZ,33.6988429
27,12,Phoenix,4.0,Panda Garden,-111.983142,507GX11jtCsVYlzaur05_w,"4730 E Warner Rd
Phoenix, AZ 85044",AZ,33.333182
3,13,Chandler,4.5,Ruby's Diner,-111.897553,GhC1V0MRGoma3MP0Gn28Fw,"3111 W Chandler Blvd Ste 2146
Chandler, AZ 85226",AZ,33.305681
38,14,Phoenix,4.0,Lenny's Burger Shop,-112.119087,reMYkuDhLk4raAviOFtvOQ,"13616 N 35th Ave
Ste 1
Phoenix, AZ 85029",AZ,33.597474
3,15,Mesa,3.5,Yee-haws,-111.735789,MG1IbQUurcXn8NQgXGM34Q,"4410 E University Dr
Mesa, AZ 85205",AZ,33.423805
3,16,Phoenix,3.5,Panda Gourmet,-112.0998396,KqYY2rwD8ymjU9mVJwiuRQ,"9020 N 19th Ave
Phoenix, AZ 85021",AZ,33.5682973
52,17,Scottsdale,3.5,Five Guys Burger and Fries,-111.9284569,jvvh4Q00Hq2XyIcfmAAT2A,"7014-590 E Camelback Rd
Scottsdale, AZ 85251",AZ,33.503323
106,18,Tempe,4.0,Forefathers Gourmet Cheesesteaks & Fries,-111.9631173,RtwOc-n_RkiUuDGaNfCsNw,"8707 S Priest Dr
Ste 101
Tempe, AZ 85284",AZ,33.3351559
3,19,Phoenix,2.5,Subway,-112.0740911,0YCV8260mMgN0PxuzAtO3g,"144 N Central Ave
Phoenix, AZ 85004",AZ,33.4503008
3,20,Phoenix,3.0,Blimpie Subs & Salads,-112.1505433,NtizlEdtnJX0tteMdZ-6tw,"4267 W Thunderbird Road
Phoenix, AZ 85053",AZ,33.6106566
580,21,Tempe,4.5,Cornish Pasty Company,-111.951494,WNy1uzcmm_UHmTyR--o5IA,"960 W University Dr
Tempe, AZ 85281",AZ,33.422728
7,22,Glendale,2.0,Chuck E Cheese,-112.2051629,woihBX8gAaEDL4nWtao9dg,"6773 W Bell Road
Glendale, AZ 85308",AZ,33.6380899
54,23,Phoenix,3.5,Kampai,-112.019165147988,0BpMvu5B9fY-KEbOuxLtFQ,"2945 E Bell Rd
Ste 102
Phoenix, AZ 85032",AZ,33.639951900923
